N,L5,L6,L7,LRT
126,0.492063492063492,0.166666666666667,0.341269841269841,4.20360325059654e-06
44,0.363636363636364,0.113636363636364,0.522727272727273,0.0138320173855889
46,0.478260869565217,0.260869565217391,0.260869565217391,0.0422639442416245
36,0.666666666666667,0.111111111111111,0.222222222222222,2.20842305942437e-05
146,0.397260273972603,0.123287671232877,0.479452054794521,2.51935901951494e-06
48,0.208333333333333,0.1875,0.604166666666667,0.818504610500268
50,0.44,0.1,0.46,0.000675671606947814
48,0.541666666666667,0.0833333333333333,0.375,2.17638142581134e-05
