N,L5,L6,L7,LRT
126,0.198412698412698,0.317460317460317,0.484126984126984,0.903474572858907
44,0.113636363636364,0.340909090909091,0.545454545454545,0.378227724212811
46,0.173913043478261,0.391304347826087,0.434782608695652,0.266690381015965
36,0.333333333333333,0.194444444444444,0.472222222222222,0.07137941322927
146,0.0958904109589041,0.308219178082192,0.595890410958904,0.21934657475329
48,0.0625,0.270833333333333,0.666666666666667,0.485868428325505
50,0.1,0.38,0.52,0.124562407470124
48,0.125,0.270833333333333,0.604166666666667,0.96738544426779
